a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.32-2
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
aom 3.1.2-1
appstream 0.14.4-1
arandr 0.1.10-6
arc-gtk-theme 20210412-1
arch-install-scripts 24-2
archlinux-keyring 20210802-1
arcolinux-alacritty-git 21.07-01
arcolinux-arc-kde 20180614-4
arcolinux-betterlockscreen-git 21.07-01
arcolinux-bspwm-git 21.07-01
arcolinux-config-all-desktops-git 21.07-01
arcolinux-dconf-all-desktops-git 21.07-01
arcolinux-desktop-trasher-git 21.07-45
arcolinux-grub-theme-vimix-git 20200928-1
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-keyring 20230919-6
arcolinux-local-xfce4-git 21.07-01
arcolinux-logout-git 21.07-02
arcolinux-logout-themes-git 21.07-03
arcolinux-meta-logout 21.07-01
arcolinux-mirrorlist-git 21.07-01
arcolinux-neofetch-git 21.07-01
arcolinux-paru-git 21.07-01
arcolinux-polybar-git 21.07-01
arcolinux-rofi-git 21.07-01
arcolinux-rofi-themes-git 21.07-01
arcolinux-root-git 21.08-02
arcolinux-systemd-services-git 21.08-05
arcolinux-tweak-tool-git 21.07-06
arcolinux-volumeicon-git 21.07-01
arcolinux-wallpapers-git 21.07-01
arcolinux-welcome-app-git 21.08-04
arcolinux-xfce-git 21.08-01
arcolinuxd-system-config-git 21.07-04
argon2 20190702-3
asciinema 2.0.2-5
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.3-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
awesome-terminal-fonts 1.1.0-4
base 2-2
bash 5.1.008-1
bash-completion 2.11-2
bc 1.07.1-4
betterlockscreen-git r126.4a95562-1
bibata-cursor-theme-bin 1.1.2-1
bind 9.16.19-1
binutils 2.36.1-3
bison 3.7.6-1
blas 3.10.0-1
blueberry 1.4.4-1
bluez 5.60-1
bluez-libs 5.60-1
bluez-tools 0.2.0-5
bluez-utils 5.60-1
brave-bin 1:1.26.77-3
broadcom-wl 6.30.223.271-316
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.13-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.68-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
chaotic-keyring 20210617-1
chaotic-mirrorlist 20210716-1
chromaprint 1.5.0-3
cifs-utils 6.13-2
clonezilla 3.35.2-3
coreutils 8.32-1
cracklib 2.9.7-2
crda 4.14-4
cryptsetup 2.3.6-1
cups 1:2.3.3op2-3
cups-filters 1.28.9-1
cups-pdf 3.0.1-6
curl 7.78.0-1
darkhttpd 1.13-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dbus-python 1.2.18-1
dconf 0.40.0-1
ddrescue 1.25-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
dex 0.9.0-1
dhclient 4.4.2.P1-1
dialog 1:1.3_20210621-1
diffutils 3.7-3
ding-libs 0.6.1-3
discord 0.0.15-1
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
drbl 2.30.5-1
duf-bin 0.6.2-1
e2fsprogs 1.46.3-2
ecryptfs-utils 111-4
edid-decode-git r541.9ca8433-1
edk2-shell 202105-1
efibootmgr 17-2
efivar 37-4
egl-wayland 1.1.7-1
eglexternalplatform 1.1-2
elfutils 0.185-1
ethtool 1:5.13-1
exfatprogs 1.1.2-1
exiv2 0.27.4-2
exo 4.16.2-1
expac 10-3
expat 2.4.1-1
f2fs-tools 1.14.0-2
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-2
fatresize 1.1.0-1
